,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
0,14DJN0128O,MATUTINO,JUAN DE LA BARRERA,ARQUIMEDES 723,1,GUADALAJARA,HERMOSA PROVINCIA,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,42,53,95,50,47,97,0,0,0,0,0,0,0,0,0,92,100,192,6,6,1,1,0,0,2,0,1,11
1,14DJN0129N,MATUTINO,JOSEFA ORTIZ DE DOMINGUEZ,OBREGON 70,1,AUTLAN DE NAVARRO,0,15,AUTLAN DE NAVARRO,FEDERALIZADO,PREESCOLAR,GENERAL,8,19,27,37,34,71,33,36,69,0,0,0,0,0,0,0,0,0,78,89,167,7,7,1,1,0,0,2,1,0,11
2,14DJN0130C,MATUTINO,ROSAURA ZAPATA,PEDRO CELESTINO NEGRETE 144,1,GUADALAJARA,OBLATOS,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,49,49,98,75,43,118,0,0,0,0,0,0,0,0,0,124,92,216,7,7,1,1,0,0,2,0,1,12
3,14DJN0132A,MATUTINO,UNIDAD MODELO,UNIDAD MODELO,1,GUADALAJARA,UNIDAD MODELO,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,16,13,29,25,17,42,23,20,43,0,0,0,0,0,0,0,0,0,64,50,114,5,5,1,2,0,0,2,0,1,11
4,14DJN0133Z,MATUTINO,CIPRIANA GUTIERREZ RODRIGUEZ,GREGORIO DAVILA 1081,1,GUADALAJARA,MEZQUITAN COUNTRY,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,8,14,22,20,17,37,15,9,24,0,0,0,0,0,0,0,0,0,43,40,83,4,4,1,0,0,0,2,1,0,7
5,14DJN0134Z,MATUTINO,ROSAURA ZAPATA,CONOCIDO,40,IZOLTA,0,115,VILLA GUERRERO,FEDERALIZADO,PREESCOLAR,GENERAL,0,1,1,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,1,4,5,1,1,0,0,0,0,0,1,0,1
6,14DJN0135Y,MATUTINO,FERNANDO AMILPA,FIDEL VELAZQUEZ 1529,1,GUADALAJARA,ATEMAJAC,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,26,28,54,31,29,60,0,0,0,0,0,0,0,0,0,57,57,114,6,6,1,1,0,0,2,0,1,11
7,14DJN0136X,MATUTINO,MIGUEL HIDALGO Y COSTILLA,NACIONAL 248,11,GENERAL ANDRES FIGUEROA (CATARINA DOS),0,119,ZACOALCO DE TORRES,FEDERALIZADO,PREESCOLAR,GENERAL,6,1,7,15,18,33,10,13,23,0,0,0,0,0,0,0,0,0,31,32,63,3,3,1,0,0,0,1,0,1,6
8,14DJN0137W,MATUTINO,MANUEL LOPEZ COTILLA,NICOLAS BRAVO 40,1,ZAPOTLANEJO,0,124,ZAPOTLANEJO,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,68,37,105,60,62,122,0,0,0,0,0,0,0,0,0,128,99,227,7,7,1,2,0,0,2,0,1,13
9,14DJN0138V,MATUTINO,VIRGINIA GALLARDO,LERDO DE TEJADA 60,1,TEQUILA,TEQUILA (ZONA CENTRO),94,TEQUILA,FEDERALIZADO,PREESCOLAR,GENERAL,9,21,30,41,45,86,42,42,84,0,0,0,0,0,0,0,0,0,92,108,200,7,7,1,1,0,0,1,0,1,11
10,14DJN0139U,MATUTINO,JOSEFINA BUENROSTRO NUO,FRANCISCO CAMACHO 5,1,SAN MARTIN HIDALGO,CRUZ VERDE,77,SAN MARTIN HIDALGO,FEDERALIZADO,PREESCOLAR,GENERAL,0,2,2,4,2,6,5,3,8,0,0,0,0,0,0,0,0,0,9,7,16,1,1,0,0,0,0,0,1,0,1
11,14DJN0140J,MATUTINO,VICENTE SUAREZ,DOROTEO ARANGO 123,1,TONALA,FRANCISCO VILLA,101,TONALA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,28,39,67,33,37,70,0,0,0,0,0,0,0,0,0,61,76,137,5,5,1,0,0,0,1,1,0,7
12,14DJN0141I,MATUTINO,HEROE DE NACOZARI,CALLE 9 267,1,GUADALAJARA,FERROCARRIL,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,32,21,53,27,31,58,0,0,0,0,0,0,0,0,0,59,52,111,5,5,1,1,0,0,3,0,1,11
13,14DJN0142H,MATUTINO,JAIME NUNO,JUAREZ 3,40,SAN CLEMENTE,0,110,UNION DE TULA,FEDERALIZADO,PREESCOLAR,GENERAL,1,5,6,9,9,18,10,10,20,0,0,0,0,0,0,0,0,0,20,24,44,2,2,0,1,0,0,0,0,1,4
14,14DJN0143G,MATUTINO,ELENA ZAPATA,GENERAL CORONADO 1014,1,GUADALAJARA,MEZQUITAN COUNTRY,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,12,12,24,23,22,45,25,29,54,0,0,0,0,0,0,0,0,0,60,63,123,5,5,1,1,0,0,3,0,1,11
15,14DJN0144F,MATUTINO,TESISTAN,LUCIO BLANCO 50,231,TESISTAN (SAN FRANCISCO TESISTAN),0,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,46,50,96,55,67,122,0,0,0,0,0,0,0,0,0,101,117,218,6,6,1,1,0,0,1,0,1,10
16,14DJN0145E,MATUTINO,GABRIELA MISTRAL,HUMBOLDT 620,1,GUADALAJARA,0,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,27,22,49,25,27,52,0,0,0,0,0,0,0,0,0,52,49,101,4,4,1,1,0,0,2,0,1,9
17,14DJN0146D,MATUTINO,PEDRO MORENO,DOM CON,1,LAGOS DE MORENO,LADERA GRANDE,53,LAGOS DE MORENO,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,6,5,11,9,6,15,0,0,0,0,0,0,0,0,0,15,11,26,1,1,0,0,0,0,0,1,0,1
18,14DJN0147C,MATUTINO,EMILIANO ZAPATA,LAS FLORES 15,1,ZAPOPAN,VICTOR HUGO,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,39,40,79,39,37,76,0,0,0,0,0,0,0,0,0,78,77,155,6,6,1,1,0,0,2,0,1,11
19,14DJN0148B,MATUTINO,MA SANTOS DELGADILLO VDA YAEZ,MONTE CARMELO 332,1,GUADALAJARA,INDEPENDENCIA,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,9,16,25,15,11,26,0,0,0,0,0,0,0,0,0,24,27,51,2,2,1,1,0,0,1,0,1,6
20,14DJN0149A,MATUTINO,SOR JUANA INES DE LA CRUZ,CONSTITUCION 2 A,2,ATOTONILCO EL BAJO,0,114,VILLA CORONA,FEDERALIZADO,PREESCOLAR,GENERAL,3,3,6,24,28,52,33,21,54,0,0,0,0,0,0,0,0,0,60,52,112,4,4,0,0,0,0,1,0,1,6
21,14DJN0150Q,MATUTINO,VOCES DE PRIMAVERA,PASEO DE LA REFORMA 48,5,ESTIPAC,0,114,VILLA CORONA,FEDERALIZADO,PREESCOLAR,GENERAL,3,5,8,14,21,35,21,23,44,0,0,0,0,0,0,0,0,0,38,49,87,3,3,0,0,0,0,1,1,0,4
22,14DJN0151P,MATUTINO,CUITLAHUAC,TABACHINES 158,243,LA VENTA DEL ASTILLERO,0,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,37,32,69,40,34,74,0,0,0,0,0,0,0,0,0,77,66,143,6,6,1,1,0,0,1,0,1,10
23,14DJN0152O,MATUTINO,AGUSTIN YAEZ,EMILIANO ZAPATA 331,1,ZAPOPAN,SANTA MA DEL PUEBLITO,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,15,16,31,20,20,40,18,17,35,0,0,0,0,0,0,0,0,0,53,53,106,6,6,1,1,0,0,0,0,1,9
24,14DJN0153N,MATUTINO,BENITO JUAREZ,MACLOVIA GONZALEZ 5,71,MANALISCO,0,118,YAHUALICA DE GONZALEZ GALLO,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,10,9,19,10,10,20,0,0,0,0,0,0,0,0,0,20,19,39,2,2,0,0,0,0,0,1,0,2
25,14DJN0154M,MATUTINO,SOR JUANA INES DE LA CRUZ,PINO SUAREZ 86,8,SAN LUIS SOYATLAN,0,107,TUXCUECA,FEDERALIZADO,PREESCOLAR,GENERAL,10,17,27,17,14,31,18,19,37,0,0,0,0,0,0,0,0,0,45,50,95,3,3,0,0,0,0,1,1,0,4
