,inmueble,municipio,clave_ct,responsable,turno,nombre_ct,director,nivel,matricula,docente,grupos,aulas_existentes,aulas_uso,inversion_tiempo_completo_2014,inversion_tiempo_completo_2015,beneficiarios_alimentos_dif_2014,inversion_aulas_interactivas_2015,inversion_aulas_interactivas_2014,inversion_aulas_interactivas_2013,aulas_interactivas_observacion,inversion_aulas_provisionales_2013,inversion_aulas_provisionales_2014,inversion_aulas_provisionales_2015,aulas_provisionales_observacion,conectividad,inversion_pec_2013,observacion_pec2013,inversion_pec_2014,observacion_pec2014,inversion_mobiliario,observacion_mobiliario,inversion_excelencia_2014,inversion_pes_2013,inversion_pes_2014,inversion_coniba_2013,inversion_escuela_digna_2013,inversion_fonden_2013,inversion_programa_sana_2013,inversion_coniba_2014,inversion_escuelas_de_tiempo_completo_2014,inversion_escuela_digna_2014,inversion_faeb_2014,inversion_fonden_2014,inversion_infraestructura_educativa_estatal_2014_(recurso_2013),inversion_programa_escuelas_de_excelencia_2014,inversion_programa_sana_2014,inversion_programa_coniba_2015,inversion_escuelas_de_tiempo_completo_2015_(recurso_2014),inversion_programa_escuela_digna_2015,inversion_faeb_2015,inversion_fonden_2015,inversion_infraestructura_educativa_estatal_2015_(recurso_2013),inversion_programa_escuelas_de_excelencia_2015_(recurso_2014),inversion_programa_sana_2015,otros_programas
0,1406848K,AHUALULCO DE MERCADO,14DPR0273Q,R,MATUTINO,5 DE MAYO,ANGELICA IVETT FLORES CARDENAS,PRIMARIA,329.0,12.0,12.0,12.0,12.0,90000.0,180000.0,BENEFICIARIOS = 60 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,381698.49,PIEZAS = 569 ALUMNOS =304 MATRICULA = 304,,,,,,,,,,999999.14,,,,,,,,,,,,,,
1,1406850C,AHUALULCO DE MERCADO,14EPR0482V,R,MATUTINO,VALENTIN GOMEZ FARIAS,MARIA EDITH CRUZ CASTAÃEDA,PRIMARIA,94.0,6.0,6.0,6.0,6.0,90000.0,179999.93,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,50000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=94,,,123492.25,PIEZAS = 179 ALUMNOS =93 MATRICULA = 93,,,,,,,,,,,,,,,,,,,,,,,,
2,1406852K,AHUALULCO DE MERCADO,14EJN0200G,R,MATUTINO,EMILIANO ZAPATA,HILDA GARCIA VEGA,PREESCOLAR,144.0,5.0,5.0,5.0,5.0,90000.0,180000.0,BENEFICIARIOS = 20 / ALIMENTO FRIO,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,90000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=144,,,96589.8,PIEZAS = 204 ALUMNOS =142 MATRICULA = 142,,,,,,,,,,,,,,,,,,,,,,,,
3,1406854H,AHUALULCO DE MERCADO,14DJN0155L,R,MATUTINO,JAVIER URIBE,MARIA ELENA ARELLANO NUÃEZ,PREESCOLAR,111.0,4.0,4.0,4.0,4.0,,,BENEFICIARIOS = 60 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,79304.16,PIEZAS = 168 ALUMNOS =117 MATRICULA = 117,,,,,,,,,,,,,,,,,,,,,,,,
4,1406855A,AHUALULCO DE MERCADO,14EPR0014B,R,MATUTINO,JOSE MA MERCADO,MARIA CONSEPCION PINZON RODRIGUEZ,PRIMARIA,289.0,12.0,12.0,12.0,12.0,,,BENEFICIARIOS = 40 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,,,58900.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=289,349018.43,PIEZAS = 518 ALUMNOS =276 MATRICULA = 344,,,,,,,,,,,,,,,,,,,,,,,,
5,1406855A,AHUALULCO DE MERCADO,14EPR0347Q,L,VESPERTINO,PATRIA,JESUS OMAR CERVANTES VALDERRAMA,PRIMARIA,72.0,6.0,6.0,12.0,6.0,,,BENEFICIARIOS = 30 / ALIMENTO FRIO,,,,,,,,,eJALISCO = 2 MB INSTALADO /,60000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=72,49000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=68,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,
6,1406856E,AHUALULCO DE MERCADO,14EPR1183D,R,MATUTINO,LEONARDO OLIVA,MARGARITA OLIVA HERNANDEZ,PRIMARIA,313.0,12.0,12.0,12.0,12.0,,,BENEFICIARIOS = 60 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,60000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=313,71300.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=313,369267.14,PIEZAS = 550 ALUMNOS =294 MATRICULA = 391,,,10000.0,,,,,,,,,,,,506607.84,,,,,,,,,
7,1406856E,AHUALULCO DE MERCADO,14EPR0388Q,L,VESPERTINO,LUIS MANUEL ROJAS ARRIOLA,GILBERTO PONCE,PRIMARIA,77.0,6.0,6.0,14.0,6.0,,,BENEFICIARIOS = 50 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,,,49000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=97,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,
8,1406857X,AHUALULCO DE MERCADO,14DJN0424P,R,MATUTINO,QUETZALCOATL,SARAYN MATA RAMOS,PREESCOLAR,94.0,4.0,4.0,4.0,4.0,,,BENEFICIARIOS = 40 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,64896.96,PIEZAS = 132 ALUMNOS =90 MATRICULA = 145,,,,,,,,,,,,,,,,,,,,,,,,
9,1406857X,AHUALULCO DE MERCADO,14DJN1423X,L,VESPERTINO,QUETZALCOATL,GRACIELA CONTRERAS GUERRERO,PREESCOLAR,57.0,3.0,3.0,4.0,3.0,,,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,64000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=57,57400.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=55,,,,,,,,,,,,,,,,,,,,,,,,,,
